cat,x,y,group
inj-1,49374.99817699126,75374.99859609125,I
inj-2,49374.99817699126,77874.9966910913,I
inj-3,54374.99912949123,75374.99859609125,I
inj-4,54374.99912949123,77874.9966910913,I
inj-5,44374.998415040056,75374.99859609125,I
inj-6,44374.998415040056,77874.9966910913,I
inj-7,54374.99912949123,82874.99764359127,I
inj-8,54374.99912949123,85374.99811968887,I
inj-9,59374.99770058888,82874.99764359127,I
inj-10,59374.99770058888,85374.99811968887,I
inj-11,49374.99817699126,82874.99764359127,I
inj-12,49374.99817699126,85374.99811968887,I
inj-13,39374.99865308885,72874.99752441447,I
inj-14,39374.99865308885,75374.99859609125,I
inj-15,44374.998415040056,82874.99764359127,I
inj-16,44374.998415040056,85374.99811968887,I
inj-17,44374.998415040056,67874.99776246327,I
inj-18,44374.998415040056,70374.99764359128,I
inj-19,49374.99817699126,67874.99776246327,I
inj-20,49374.99817699126,70374.99764359128,I
inj-21,64374.99865308885,87874.99621468893,I
inj-22,64374.99865308885,90374.99669109128,I
inj-23,59374.99770058888,90374.99669109128,I
inj-24,59374.99770058888,92874.99716718888,I
inj-25,54374.99912949123,90374.99669109128,I
inj-26,50624.998415040056,89124.99764359127,I
inj-27,49374.99817699126,90374.99669109128,I
inj-28,50624.998415040056,91624.9969291401,I
inj-29,39374.99865308885,65374.99788164007,I
inj-30,39374.99865308885,67874.99776246327,I
inj-31,39374.99865308885,70374.99764359128,I
inj-32,40624.99889144244,69124.99740523768,I
inj-33,43124.99817699126,69124.99740523768,I
inj-34,45624.99865308885,69124.99740523768,I
inj-35,48124.99912949123,69124.99740523768,I
inj-36,35624.999129491225,71624.99788164007,I
inj-37,35624.999129491225,74124.99776246327,I
inj-38,35624.999129491225,64124.99794107607,I
inj-39,35624.999129491225,66624.99811968885,I
inj-40,38124.99841504005,66624.99811968885,I
inj-41,38124.99841504005,69124.99740523768,I
inj-42,38124.99841504005,71624.99788164007,I
inj-43,36874.99877226564,72874.99752441447,I
inj-44,38124.99841504005,74124.99776246327,I
inj-45,46874.99770058888,67874.99776246327,I
inj-46,46874.99770058888,70374.99764359128,I
inj-47,45624.99865308885,71624.99788164007,I
inj-48,48124.99912949123,71624.99788164007,I
inj-49,46874.99770058888,72874.99752441447,I
inj-50,49374.99817699126,72874.99752441447,I
inj-51,43124.99817699126,71624.99788164007,I
inj-52,44374.998415040056,72874.99752441447,I
inj-53,41874.99853421685,70374.99764359128,I
inj-54,40624.99889144244,71624.99788164007,I
inj-55,40624.99889144244,74124.99776246327,I
inj-56,41874.99853421685,75374.99859609125,I
inj-57,40624.99889144244,76624.99764359128,I
inj-58,38124.99841504005,76624.99764359128,I
inj-59,39374.99865308885,77874.9966910913,I
inj-60,41874.99853421685,77874.9966910913,I
inj-61,40624.99889144244,79124.99811968885,I
inj-62,43124.99817699126,79124.99811968885,I
inj-63,41874.99853421685,80374.99716718889,I
inj-64,44374.998415040056,80374.99716718889,I
inj-65,41874.99853421685,72874.99752441447,I
inj-66,43124.99817699126,74124.99776246327,I
inj-67,45624.99865308885,74124.99776246327,I
inj-68,46874.99770058888,75374.99859609125,I
inj-69,43124.99817699126,76624.99764359128,I
inj-70,45624.99865308885,76624.99764359128,I
inj-71,48124.99912949123,74124.99776246327,I
inj-72,48124.99912949123,76624.99764359128,I
inj-73,46874.99770058888,77874.9966910913,I
inj-74,45624.99865308885,79124.99811968885,I
inj-75,40624.99889144244,81624.9974052377,I
inj-76,43124.99817699126,81624.9974052377,I
inj-77,45624.99865308885,81624.9974052377,I
inj-78,48124.99912949123,81624.9974052377,I
inj-79,46874.99770058888,80374.99716718889,I
inj-80,49374.99817699126,80374.99716718889,I
inj-81,48124.99912949123,79124.99811968885,I
inj-82,50624.998415040056,79124.99811968885,I
inj-83,50624.998415040056,76624.99764359128,I
inj-84,50624.998415040056,74124.99776246327,I
inj-85,41874.99853421685,82874.99764359127,I
inj-86,46874.99770058888,82874.99764359127,I
inj-87,51874.99865308885,82874.99764359127,I
inj-88,50624.998415040056,81624.9974052377,I
inj-89,53124.99770058888,81624.9974052377,I
inj-90,51874.99865308885,80374.99716718889,I
inj-91,51874.99865308885,77874.9966910913,I
inj-92,51874.99865308885,75374.99859609125,I
inj-93,51874.99865308885,72874.99752441447,I
inj-94,50624.998415040056,71624.99788164007,I
inj-p1,59874.99827208886,68374.99773868888,I
inj-p2,60374.99884358884,69624.99797673766,I
inj-p3,60124.998557991246,70874.99761981687,I
inj-p4,59874.99827208886,72124.99726259129,I
inj-p5,60124.998557991246,74624.99773868888,I
inj-p6,60624.99793894247,75874.9967861889,I
inj-p7,61374.99760549128,77124.99821509125,I
inj-p8,62374.99874849124,78374.99726259129,I
inj-p9,63624.99779599127,79624.99750064008,I
inj-p10,64874.99803404007,80874.99773868888,I
inj-p11,66124.9970815401,82124.99678618892,I
inj-p12,67124.99822454006,83374.99821509125,I
inj-p13,67624.99879604005,84624.99726259128,I
inj-p14,68124.9969861377,85874.99631009132,I
inj-p15,68374.99727204008,87124.99773868888,I
inj-p16,68624.99755763767,88374.99678618892,I
inj-p17,68624.99755763767,89624.9970242377,I
inj-p18,68124.9969861377,90874.99726259128,I
inj-p19,67374.99851013765,93124.99745309127,I
inj-p20,67374.99851013765,94374.99769114007,I
inj-p21,31374.99903408884,75124.99831018885,I
inj-p22,31874.99901031443,76374.99735768889,I
inj-p23,32624.99897465283,77624.99759573767,I
inj-p24,33624.99892710403,78874.99783409126,I
inj-p25,35624.999129491225,81374.99831018886,I
inj-p26,36624.99908163763,82624.99735768889,I
inj-p27,37374.99874849124,83874.99640518893,I
inj-p28,38124.99841504005,85124.99783409126,I
inj-p29,38874.99867686325,86374.99688159129,I
inj-p30,39874.99862931444,87624.9971196401,I
inj-p31,46624.99860554005,94124.99621468892,I
inj-p32,47874.99884358884,94374.99769114007,I
inj-p33,49124.99789108887,94624.99797673768,I
inj-p34,50374.99931999123,94874.99588123774,I
inj-p35,51374.99808158886,95374.99645273772,I
inj-p36,53874.998557991246,95874.9970242377,I
inj-p37,55124.99760549128,95874.9970242377,I
inj-p38,56374.99903408883,95624.99673864013,I
inj-p39,57624.99808158886,95624.99673864013,I
inj-p40,58874.99712908889,95874.9970242377,I
inj-p41,60124.998557991246,96374.99759573767,I
inj-p42,60874.9970339913,97124.99607173774,I
inj-p43,61874.99817699126,97624.99664323773,I
inj-p44,63124.99722449129,98124.9972147377,I
inj-p45,64374.99865308885,98124.9972147377,I
inj-p46,65374.99860554005,97874.9969291401,I
inj-p47,66124.9970815401,97374.99635764012,I
inj-p48,66874.99793863767,96874.99816723766,I
inj-p49,67374.99851013765,96124.9973101401,I
inj-p50,67374.99851013765,95374.99645273772,I
inj-p51,45374.99836749126,93374.99773868888,I
inj-p52,44124.99812944247,92124.99631009132,I
inj-p53,42874.99848636325,90874.99726259128,I
inj-p54,41874.99853421685,89874.99611959132,I
inj-p55,40874.99858176565,88874.99735768889,I
inj-p56,30874.99905786323,73874.99807214006,I
inj-p57,30624.99906975044,72624.99783409126,I
inj-p58,30624.99906975044,71124.99731014008,I
inj-p59,30624.99906975044,69624.99797673766,I
inj-p60,30624.99906975044,68124.99745309129,I
inj-p61,30624.99906975044,66624.99811968885,I
inj-p62,30624.99906975044,65124.99759573768,I
inj-p63,30624.99906975044,63624.99796485047,I
inj-p64,30624.99906975044,62124.998036478464,I
inj-p65,30874.99905786323,60874.99809591446,I
inj-p66,31124.99904597604,59624.99815535046,I
inj-p67,31624.999022201628,58374.99806604406,I
inj-p68,32874.99896276563,57124.998125784856,I
inj-p69,34124.99890332964,56374.99816144646,I
inj-p70,35624.999129491225,56374.99816144646,I
inj-p71,58874.99712908889,67124.99750064008,I
